team,confederation
Abkhazia,
Afghanistan,AFC
Albania,UEFA
Alderney,
Algeria,CAF
Ambazonia,
American Samoa,OFC
Andalusia,
Andorra,UEFA
Angola,CAF
Anguilla,CONCACAF
Antigua and Barbuda,CONCACAF
Arameans Suryoye,
Argentina,CONMEBOL
Armenia,UEFA
Artsakh,
Aruba,CONCACAF
Asturias,
Athletic Club,
Atlético Madrid,
Australia,AFC
Austria,UEFA
Aymara,
Azerbaijan,UEFA
Bahamas,CONCACAF
Bahrain,AFC
Bangladesh,AFC
Barawa,
Barbados,CONCACAF
Barcelona,
Basque Country,
Belarus,UEFA
Belgium,UEFA
Belize,CONCACAF
Benin,CAF
Bermuda,CONCACAF
Bhutan,AFC
Biafra,
Bolivia,CONMEBOL
Bonaire,CONCACAF
Bosnia and Herzegovina,UEFA
Botswana,CAF
Brazil,CONMEBOL
British Virgin Islands,CONCACAF
Brittany,
Brunei,AFC
Bulgaria,UEFA
Burkina Faso,CAF
Burundi,CAF
Cambodia,AFC
Cameroon,CAF
Canada,CONCACAF
Canary Islands,
Cape Verde,CAF
Cascadia,
Catalonia,
Cayman Islands,CONCACAF
Celta Vigo,
Central African Republic,CAF
Central Spain,
Chad,CAF
Chagos Islands,
Chameria,
Chechnya,
Chile,CONMEBOL
China,AFC
Cilento,
Colombia,CONMEBOL
Comoros,CAF
Congo,CAF
Cook Islands,OFC
Corsica,
Costa Rica,CONCACAF
County of Nice,
Crimea,
Croatia,UEFA
Cuba,CONCACAF
Curaçao,CONCACAF
Cyprus,UEFA
Czech Republic,UEFA
Czechoslovakia,UEFA
Cádiz,
DR Congo,CAF
Darfur,
Denmark,UEFA
Deportivo Alavés,
Djibouti,CAF
Dominica,CONCACAF
Dominican Republic,CONCACAF
Donetsk PR,
Délvidék,
East Turkestan,
Ecuador,CONMEBOL
Egypt,CAF
Eibar,
El Salvador,CONCACAF
Elba Island,
Elche,
Ellan Vannin,
England,UEFA
Equatorial Guinea,CAF
Eritrea,CAF
Espanyol,
Estonia,UEFA
Eswatini,CAF
Ethiopia,CAF
Falkland Islands,
Faroe Islands,UEFA
Felvidék,
Fiji,OFC
Finland,UEFA
France,UEFA
Franconia,
French Guiana,CONCACAF
Frøya,
Gabon,CAF
Galicia,
Gambia,CAF
Georgia,UEFA
German DR,
Germany,UEFA
Getafe,
Ghana,CAF
Gibraltar,UEFA
Girona,
Gotland,
Gozo,
Granada,
Greece,UEFA
Greenland,
Grenada,CONCACAF
Guadeloupe,CONCACAF
Guam,AFC
Guatemala,CONCACAF
Guernsey,
Guinea,CAF
Guinea-Bissau,CAF
Guyana,CONCACAF
Găgăuzia,
Haiti,CONCACAF
Hitra,
Hmong,
Honduras,CONCACAF
Hong Kong,AFC
Huesca,
Hungary,UEFA
Iceland,UEFA
India,AFC
Indonesia,AFC
Iran,AFC
Iraq,AFC
Iraqi Kurdistan,
Isle of Man,
Isle of Wight,
Israel,UEFA
Italy,UEFA
Ivory Coast,CAF
Jamaica,CONCACAF
Japan,AFC
Jersey,
Jordan,AFC
Kabylia,
Kazakhstan,UEFA
Kenya,CAF
Kernow,
Kiribati,OFC
Kosovo,UEFA
Kurdistan,
Kuwait,AFC
Kyrgyzstan,AFC
Kárpátalja,
Laos,AFC
Las Palmas,
Latvia,UEFA
Lebanon,AFC
Leganés,
Lesotho,CAF
Levante UD,
Liberia,CAF
Libya,CAF
Liechtenstein,UEFA
Lithuania,UEFA
Luhansk PR,
Luxembourg,UEFA
Macau,AFC
Madagascar,CAF
Madrid,
Malawi,CAF
Malaysia,AFC
Maldives,AFC
Mali,CAF
Mallorca,
Malta,UEFA
Manchukuo,
Mapuche,
Marshall Islands,
Martinique,CONCACAF
Matabeleland,
Maule Sur,
Mauritania,CAF
Mauritius,CAF
Mayotte,
Menorca,
Mexico,CONCACAF
Micronesia,
Moldova,UEFA
Monaco,
Mongolia,AFC
Montenegro,UEFA
Montserrat,CONCACAF
Morocco,CAF
Mozambique,CAF
Myanmar,AFC
Málaga,
Namibia,CAF
Nepal,AFC
Netherlands,UEFA
New Caledonia,OFC
New Zealand,OFC
Nicaragua,CONCACAF
Niger,CAF
Nigeria,CAF
Niue,OFC
North Korea,AFC
North Macedonia,UEFA
North Vietnam,
