league,multiplier
Premier League,1.0
La Liga,1.0
Serie A,1.0
Bundesliga,1.0
Ligue 1,1.0
Eredivisie,0.8
Primeira Liga,0.8
Championship,0.8
Belgian Pro League,0.8
Scottish Premiership,0.8
MLS,0.55
Liga MX,0.55
Saudi Pro League,0.55
Brazilian Série A,0.55
Russian Premier League,0.55
Süper Lig,0.55
Super League Greece,0.55
Austrian Bundesliga,0.55
Swiss Super League,0.55
Argentine Primera División,0.55
2. Bundesliga,0.55
La Liga 2,0.55
Serie B,0.55
Ligue 2,0.55
J1 League,0.55
K League 1,0.55
Chinese Super League,0.55
Qatar Stars League,0.55
UAE Pro League,0.55
Croatian First League,0.55
Czech First League,0.55
Danish Superliga,0.55
Ukrainian Premier League,0.55
Polish Ekstraklasa,0.55
Romanian Liga I,0.55
Serbian SuperLiga,0.55
Norwegian Eliteserien,0.55
Swedish Allsvenskan,0.55
Bulgarian First League,0.55
Hungarian NB I,0.55
Slovak Super Liga,0.55
Cypriot First Division,0.55
Israeli Premier League,0.55
Egyptian Premier League,0.55
South African Premier Division,0.55
Moroccan Botola Pro,0.55
Tunisian Ligue 1,0.55
Algerian Ligue 1,0.55
A-League,0.55
Iranian Pro League,0.55
Jordanian Pro League,0.45
Uzbek Super League,0.45
Iraqi Premier League,0.45
